what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1253193532226
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1253193532235
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1253193532235
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.help.ui,1253193532235
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.bugs,1253193532236
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1253193532236
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1253193532237
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.1.0.v20080604,org.eclipse.rse.subsystems.shells.telnet,1253193532237
stopped,bundle,org.eclipse.rse.shells.ui,3.0.1.v20080710,org.eclipse.rse.shells.ui,1253193532238
stopped,bundle,org.eclipse.rse.files.ui,3.0.3.v200902050040,org.eclipse.rse.files.ui,1253193532238
stopped,bundle,org.eclipse.rse.processes.ui,3.0.1.v20080714,org.eclipse.rse.processes.ui,1253193532239
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1253193532240
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.104.v200901201856,org.eclipse.wst.wsdl.ui,1253193532242
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1253193532242
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.104.v200901282355,org.eclipse.wst.jsdt.web.ui,1253193532243
stopped,bundle,org.eclipse.wst.web.ui,1.1.201.v200811240900,org.eclipse.wst.web.ui,1253193532244
stopped,bundle,org.eclipse.wst.html.ui,1.0.302.v200810291731,org.eclipse.wst.html.ui,1253193532245
stopped,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1253193532246
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1253193532249
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1253193532250
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1253193532251
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1253193532266
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200805160650,org.eclipse.wst.javascript.ui,1253193532269
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1253193532270
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1253193532272
